time,city,ndvi
2017-01-01,Lahore,0.2086
2017-02-01,Lahore,0.25730000000000003
2017-03-01,Lahore,0.254
2017-04-01,Lahore,0.2599
2017-05-01,Lahore,0.2439
2017-06-01,Lahore,0.452
2017-07-01,Lahore,0.4167
2017-08-01,Lahore,0.30870000000000003
2017-09-01,Lahore,0.34390000000000004
2017-10-01,Lahore,0.2242
2017-11-01,Lahore,0.2768
2017-12-01,Lahore,0.24250000000000002
2018-01-01,Lahore,0.189
2018-02-01,Lahore,0.1859
2018-03-01,Lahore,0.2333
2018-04-01,Lahore,0.2109
2018-05-01,Lahore,0.2209
2018-06-01,Lahore,0.3521
2018-07-01,Lahore,0.45930000000000004
2018-08-01,Lahore,0.31820000000000004
2018-09-01,Lahore,0.3225
2018-10-01,Lahore,0.2796
2018-11-01,Lahore,0.2393
2018-12-01,Lahore,0.2179
2019-01-01,Lahore,0.18610000000000002
2019-02-01,Lahore,0.23240000000000002
2019-03-01,Lahore,0.26
2019-04-01,Lahore,0.2526
2019-05-01,Lahore,0.25830000000000003
2019-06-01,Lahore,0.23900000000000002
2019-07-01,Lahore,0.234
2019-08-01,Lahore,0.4107
2019-09-01,Lahore,0.3735
2019-10-01,Lahore,0.2942
2019-11-01,Lahore,0.272
2019-12-01,Lahore,0.2646
2020-01-01,Lahore,0.2429
2020-02-01,Lahore,0.2147
2020-03-01,Lahore,0.3377
2020-04-01,Lahore,0.30670000000000003
2020-05-01,Lahore,0.3129
2020-06-01,Lahore,0.28750000000000003
2020-07-01,Lahore,0.3728
2020-08-01,Lahore,0.3977
2020-09-01,Lahore,0.5287000000000001
2020-10-01,Lahore,0.2541
2020-11-01,Lahore,0.3009
2020-12-01,Lahore,0.2891
2021-01-01,Lahore,0.23570000000000002
2021-02-01,Lahore,0.21180000000000002
2021-03-01,Lahore,0.25980000000000003
2021-04-01,Lahore,0.3029
2021-05-01,Lahore,0.2692
2021-06-01,Lahore,0.261
2021-07-01,Lahore,0.3645
2021-08-01,Lahore,0.334
2021-09-01,Lahore,0.3649
2021-10-01,Lahore,0.3541
2021-11-01,Lahore,0.3174
2021-12-01,Lahore,0.226
2022-01-01,Lahore,0.22060000000000002
2022-02-01,Lahore,0.23020000000000002
2022-03-01,Lahore,0.27690000000000003
2022-04-01,Lahore,0.27890000000000004
2022-05-01,Lahore,0.2898
2022-06-01,Lahore,0.36560000000000004
2022-07-01,Lahore,0.3879
2022-08-01,Lahore,0.3786
2022-09-01,Lahore,0.3149
2022-10-01,Lahore,0.3695
2022-11-01,Lahore,0.28600000000000003
